Name,Price
Jayleen Clarke Quay Hotel,116
"Harbour Ville Hotel, Bukit Merah, Singapore",119
"Wanderloft Capsule Hotel, Singapore",68
"K2 Guesthouse Central, Singapore",79
iStay.inn Singapore,91
"CUBE Boutique Capsule hotel @ Kampong Glam, Singapore",73
"Fragrance Hotel - Lavendar, Singapore",76
"Snooze Inn @ Dunlop Street, Singapore",90
"The Noble Hotel, Singapore",70
"River City Inn, Singapore",115
"Vintage Inn Boutique Capsule @ Little India, Singapore",45
"Century Service World, Singapore",128
"Diamond Hotel, Singapore",58
Hotel Miramar Singapore,134
"Betel Box Backpackers Hostel, Singapore",34
"Spacepod, Kallang, Singapore",39
"The Bohemian, Chinatown, Singapore",53
"KINN Capsule Hotel, Singapore",101
"Chic Capsule Hotel, Singapore",68
"Atelier, Chinatown, Singapore",58
"K Space Inn Owen, Kallang, Singapore",49
"K Space Inn 569, Singapore",51
"K Space Inn 14, Singapore",51
"Vintage Inn @ Clarke Quay, Singapore",42
