,ID,floor_area_sqm,mean_resale_price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Closest distance to a hotel,Closest distance to a park,Traffic lights within 500 meters,Parking lots within 500 meters
957,block 304 HOUGANG,79.07692307692308,325867.29743589746,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
958,block 304 JURONG EAST,76.25,298562.4646493213,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
959,block 304 YISHUN,100.875,303637.01515151514,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
960,block 305 ANG MO KIO,121.0,550638.7628205128,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
961,block 305 BUKIT BATOK,82.0625,312228.125,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
962,block 305 CLEMENTI,70.95833333333333,340199.3879928316,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
963,block 305 JURONG EAST,114.92857142857144,432260.7142857143,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
964,block 305 SEMBAWANG,133.375,469423.1071428572,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
965,block 306 ANG MO KIO,118.5,562181.8181818181,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
966,block 306 CHOA CHU KANG,111.5,424931.380952381,18285.99136391172,18285.99136391172,POINT (103.7445 1.401318),7735.323339091603,1416.035097612029,0,21
967,block 306 JURONG EAST,73.56521739130434,285042.9027311361,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
968,block 307 BISHAN,79.75,427682.1398809524,9549.300637849754,9549.300637849754,POINT (103.83203356097692 1.3659908),3182.6130892712904,459.57555114117594,1,17
969,block 307 BUKIT BATOK,75.85714285714286,301915.83095238096,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
970,block 307 CLEMENTI,72.47619047619048,346063.88408119656,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
971,block 307 HOUGANG,77.77777777777777,299864.7435897436,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
972,block 307 SERANGOON,93.5,413119.9566052227,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
973,block 308 CLEMENTI,67.0,326030.69260337367,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
974,block 308 HOUGANG,76.08,298769.82802867383,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
975,block 309 JURONG EAST,124.83333333333331,447624.72960992914,7178.59571364379,7178.59571364379,POINT (103.76970275789861 1.2934785500000001),177.19950196115252,646.356945125313,0,139
976,block 31 BEDOK,117.3529411764706,582205.0036764706,9057.217152985671,9057.217152985671,POINT (103.9314714 1.3256702),1853.18802415568,799.6053700989594,1,0
977,block 31 BUKIT MERAH,62.66666666666666,293547.59868421056,478438.0299118013,478438.0299118013,POINT (101.0377184 4.5547853),466060.8429300524,456189.309510688,0,0
978,block 31 GEYLANG,80.25,441398.9164411977,4703.10950931338,4703.10950931338,POINT (103.8870563 1.3181862),422.920243142269,402.13140927055673,1,412
979,block 31 JURONG EAST,99.5,334844.0373563219,12433.600407378106,12433.600407378106,POINT (103.7419081 1.3338016),385.0026481895945,1221.7581837362186,1,7
980,block 310 BISHAN,121.6153846153846,634170.282051282,9549.300637849754,9549.300637849754,POINT (103.83203356097692 1.3659908),3182.6130892712904,459.57555114117594,1,17
981,block 310 CLEMENTI,70.05555555555556,337462.71568627446,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
982,block 310 SEMBAWANG,142.55555555555554,547601.0500679875,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
983,block 310 WOODLANDS,77.28571428571429,293479.01785714284,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
984,block 311 GEYLANG,96.66666666666669,391329.2857142857,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
985,block 311 HOUGANG,71.4375,286527.4568181818,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
986,block 311 SEMBAWANG,111.33333333333331,406110.6517361112,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
987,block 311 WOODLANDS,81.9090909090909,304137.06493506493,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
988,block 312 YISHUN,89.0,315976.3958333333,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
989,block 313 BISHAN,84.0,419141.4819444445,9549.300637849754,9549.300637849754,POINT (103.83203356097692 1.3659908),3182.6130892712904,459.57555114117594,1,17
990,block 313 SEMBAWANG,115.0909090909091,397451.7301831878,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
991,block 313 TAMPINES,145.8181818181818,600227.1363636364,11314.499537914988,11314.499537914988,POINT (103.93169459451332 1.35823695),3404.4861999485365,1427.6130152207304,0,588
992,block 313 WOODLANDS,83.0,293272.07602339186,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
993,block 314 ANG MO KIO,44.0,221528.5676011265,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
994,block 314 GEYLANG,88.6,364375.4565476191,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
995,block 314 HOUGANG,91.75,330131.99404761905,7787.477904233574,7787.477904233574,POINT (103.88324188555953 1.35147475),563.8358301836054,279.6723185291963,0,9
996,block 314 YISHUN,116.53846153846152,375806.6826923077,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
997,block 315 GEYLANG,90.15384615384616,362117.3498168498,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
998,block 316 BUKIT BATOK,77.52380952380952,295546.0919158361,15350.57920603006,15350.57920603006,POINT (103.75220543614704 1.3750589),5020.855672930695,307.66647126975414,1,0
999,block 316 GEYLANG,72.8125,301380.375,4861.68583215172,4861.68583215172,POINT (103.8706298184074 1.3275858),1708.2981574466685,358.1732391614532,1,303
1000,block 316 SEMBAWANG,117.07142857142856,400132.9791666667,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1001,block 316 WOODLANDS,78.45454545454545,300875.376010101,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1002,block 317 JURONG EAST,113.35714285714286,414062.3939285714,7178.59571364379,7178.59571364379,POINT (103.76970275789861 1.2934785500000001),177.19950196115252,646.356945125313,0,139
1003,block 317 SEMBAWANG,110.0,396314.8903162056,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1004,block 317 TAMPINES,113.875,436752.0833333333,11266.640206553264,11266.640206553264,POINT (103.93102912719868 1.35828095),3446.4064248378895,1501.0884756363776,0,566
1005,block 317 WOODLANDS,81.0,306035.72222222225,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1006,block 318 CLEMENTI,91.0,488795.0486111111,11896.328540908782,11896.328540908782,POINT (103.75144769655765 1.33620005),1450.1391868740359,1126.3183833750836,0,5
1007,block 318 SEMBAWANG,105.3076923076923,383907.26249556895,19712.03512455093,19712.03512455093,POINT (103.8110857503803 1.45574395),5838.755243389131,2124.382886192602,0,60
1008,block 318 WOODLANDS,96.66666666666669,340803.2777777777,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1009,block 319 CLEMENTI,67.0,342465.5265752766,11896.328540908782,11896.328540908782,POINT (103.75144769655765 1.33620005),1450.1391868740359,1126.3183833750836,0,5
1010,block 319 GEYLANG,89.71428571428571,356822.1792717087,4861.68583215172,4861.68583215172,POINT (103.8706298184074 1.3275858),1708.2981574466685,358.1732391614532,1,303
1011,block 319 HOUGANG,79.0,304458.34685634007,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
1012,block 319 SERANGOON,145.66666666666666,741641.6666666667,7577.978652850622,7577.978652850622,POINT (103.88062227851341 1.3503253000000002),461.0068840311744,334.31643556120935,0,11
1013,block 319 WOODLANDS,79.71428571428571,300164.6168971516,12884734.693564262,12884734.693564262,POINT (-115.546226 54.0556065),12868995.637003118,12867443.25327658,0,0
1014,block 32 BEDOK,80.3076923076923,354504.27372872224,9057.217152985671,9057.217152985671,POINT (103.9314714 1.3256702),1853.18802415568,799.6053700989594,1,0
1015,block 32 BUKIT MERAH,59.69230769230769,293116.8493531785,1834.627121338543,1834.627121338543,POINT (103.82831840371266 1.2704395),248.7778970666255,1244.6646066973003,0,0
1016,block 32 GEYLANG,73.72222222222223,391398.2121341622,4703.10950931338,4703.10950931338,POINT (103.8870563 1.3181862),422.920243142269,402.13140927055673,1,412
1017,block 32 KALLANG/WHAMPOA,55.294117647058826,227677.46813725488,5037.380009865922,5037.380009865922,POINT (103.8623474 1.3302361),1396.711551653625,810.0513911776123,0,0
1018,block 32 MARINE PARADE,72.16666666666667,393891.6444444445,5254.445630521953,5254.445630521953,POINT (103.904665 1.302774),208.02567314987863,451.64683706976643,1,144
1019,block 320 CLEMENTI,67.0,342203.4945054945,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
1020,block 320 GEYLANG,90.66666666666669,361056.13178294577,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
