ID,floor_area_sqm,mean_resale_price,geometry,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa
block 579 WOODLANDS,90.46153846153847,334248.12596153846,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 580 WOODLANDS,110.0,399575.68082264956,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 581 PASIR RIS,147.83333333333334,673129.1666666666,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 581 WOODLANDS,131.0,482052.8636363636,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 582 WOODLANDS,110.0,397787.47113997117,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 584 WOODLANDS,104.0625,386933.59375,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 585 WOODLANDS,120.33333333333333,435001.45501165505,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 586 WOODLANDS,121.47619047619048,441609.765394693,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 587 WOODLANDS,118.4074074074074,440293.3483057525,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 5A WOODLANDS,99.0909090909091,328995.1344414292,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 6 BEDOK,82.0,353954.7474120083,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 6 BUKIT MERAH,79.16666666666667,367371.85952611215,POINT (103.82831840371266 1.2704395),1834.627121338543,1834.627121338543
block 6 BUKIT TIMAH,126.55555555555556,660837.0266203703,POINT (101.4670762 1.5112818),263575.98638049024,263575.98638049024
block 6 GEYLANG,116.36363636363636,625443.4935064935,POINT (103.8870563 1.3181862),4703.10950931338,4703.10950931338
block 6 HOUGANG,65.0,237531.94444444444,POINT (103.8934167875929 1.374085),10521.56807334726,10521.56807334726
block 6 KALLANG/WHAMPOA,82.96296296296296,379826.9435242696,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
block 6 MARINE PARADE,67.75,376208.32936507935,POINT (103.904665 1.302774),5254.445630521953,5254.445630521953
block 6 QUEENSTOWN,69.30882352941177,384935.9580298467,POINT (103.80149671637383 1.28699435),4179.188157897261,4179.188157897261
block 6 SERANGOON,97.9,425849.48717948725,POINT (103.8698268 1.3514805),7449.298925379446,7449.298925379446
block 6 WOODLANDS,66.61764705882354,241579.59392940238,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 60 BUKIT MERAH,74.66666666666667,345831.9691565515,POINT (103.82831840371266 1.2704395),1834.627121338543,1834.627121338543
block 60 GEYLANG,98.39393939393939,530820.3894522145,POINT (103.8706298184074 1.3275858),4861.68583215172,4861.68583215172
block 60 KALLANG/WHAMPOA,107.4,611099.25,POINT (103.8663299 1.3250618),4502.24597112861,4502.24597112861
block 60 QUEENSTOWN,93.0,538981.5144724556,POINT (121.1761909 14.5060306),2401323.530558786,2401323.530558786
block 60 TOA PAYOH,115.0,714528.0978855721,POINT (103.8497414 1.3353906),5743.444997146924,5743.444997146924
block 601 ANG MO KIO,75.4,305626.2156246999,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 601 JURONG WEST,112.94444444444444,467483.182051282,POINT (103.7058663 1.3434392),16176.255463545087,16176.255463545087
block 602 BEDOK,119.07142857142857,404266.59523809527,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 602 CLEMENTI,71.11764705882354,305911.30655485333,POINT (103.77598114983843 1.3320357),9908.878813117522,9908.878813117522
block 602 WOODLANDS,108.33333333333333,368317.48562548566,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 602 YISHUN,100.875,355154.5277777778,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 603 BUKIT PANJANG,107.8,475797.69182389934,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 603 HOUGANG,94.0,352225.01002506266,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 603 WOODLANDS,108.21428571428571,373600.01339285716,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 604 ANG MO KIO,75.82352941176471,298407.9839119858,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 604 BUKIT PANJANG,116.4375,512107.16847826086,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 604 CHOA CHU KANG,149.33333333333334,595028.8611111111,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 604 CLEMENTI,119.0,549269.4327731092,POINT (103.77598114983843 1.3320357),9908.878813117522,9908.878813117522
block 604 PASIR RIS,151.42857142857142,631619.7478991597,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 604 YISHUN,122.0,455705.3650793651,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 605 BEDOK,122.0,414881.8100775194,POINT (103.9110728 1.324443),7096.946860014165,7096.946860014165
block 605 CLEMENTI,119.0,545623.8504273504,POINT (103.77598114983843 1.3320357),9908.878813117522,9908.878813117522
block 606 ANG MO KIO,70.5,302134.0815934066,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 606 BUKIT PANJANG,115.1,519248.74818840576,POINT (103.76120534896185 1.3849607499999999),15692.412745641155,15692.412745641155
block 606 PASIR RIS,151.28571428571428,633354.9107142857,POINT (103.94350777946352 1.372388),13353.959876046514,13353.959876046514
block 606 WOODLANDS,112.77777777777777,376892.2068181818,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 607 CHOA CHU KANG,122.64285714285714,418802.65934065933,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 607 HOUGANG,90.28571428571429,345471.73204633204,POINT (103.88324188555953 1.35147475),7787.477904233574,7787.477904233574
block 607 WOODLANDS,113.47058823529412,371242.2351279495,POINT (-115.546226 54.0556065),12884734.693564262,12884734.693564262
block 607 YISHUN,115.85714285714286,380304.2619047619,POINT (103.8403992 1.4377325),17076.156583567823,17076.156583567823
block 608 ANG MO KIO,83.55555555555556,333650.47303921566,POINT (103.84368975 1.3885722999999999),11646.10442013269,11646.10442013269
block 608 CHOA CHU KANG,111.0,383964.9464285714,POINT (103.7445 1.401318),18285.99136391172,18285.99136391172
block 609 BEDOK,73.0,291516.12316849816,POINT (103.9314714 1.3256702),9057.217152985673,9057.217152985673
block 609 JURONG WEST,119.54545454545455,500662.32467532466,POINT (103.7058663 1.3434392),16176.255463545087,16176.255463545087
